gender,rank,full_name,population
male,1,陳冠宇,4021
male,2,陳建宏,3524
male,3,張家豪,2890
male,4,陳俊宏,2801
male,5,陳冠廷,2469
male,6,陳柏宇,2383
male,7,林建宏,2375
male,8,陳柏翰,2353
male,9,陳彥廷,2249
male,10,陳信宏,2120
male,11,林俊宏,2078
male,12,張家銘,1890
male,13,陳志豪,1879
male,14,陳冠霖,1825
male,15,黃俊傑,1775
male,16,王俊傑,1773
male,17,陳俊宇,1740
male,18,陳志明,1710
male,19,林冠宇,1678
male,20,林冠廷,1651
male,21,陳威廷,1583
male,22,陳建志,1575
male,23,陳俊傑,1529
male,24,林志明,1453
male,25,林彥廷,1452
male,26,陳冠宏,1426
male,27,陳俊良,1424
male,28,陳柏安,1370
male,29,陳柏霖,1359
male,30,林哲宇,1352
male,31,陳柏宏,1342
male,32,吳宗翰,1322
male,33,陳建宇,1322
male,34,李俊賢,1306
male,35,張育誠,1295
male,36,張家瑋,1294
male,37,陳威宇,1287
male,38,吳承翰,1266
male,39,陳建良,1266
male,40,陳柏諺,1266
male,41,張凱翔,1262
male,42,李承翰,1261
male,43,李承恩,1257
male,44,陳奕安,1255
male,45,吳俊賢,1246
male,46,張哲瑋,1227
male,47,李宗翰,1223
male,48,陳建成,1213
male,49,許家豪,1213
male,50,陳俊廷,1209
male,51,張哲維,1207
male,52,吳承恩,1194
male,53,張家榮,1187
male,54,蔡承翰,1186
male,55,林信宏,1185
male,56,陳建銘,1185
male,57,陳柏睿,1173
male,58,陳建安,1158
male,59,林志鴻,1130
male,60,陳宥廷,1121
male,61,陳志成,1121
male,62,陳彥宇,1115
male,63,張志豪,1109
male,64,蔡宗翰,1107
male,65,林子傑,1088
male,66,陳彥霖,1077
male,67,陳俊男,1075
male,68,陳志忠,1066
male,69,林子翔,1058
male,70,陳志偉,1048
male,71,陳品睿,1040
male,72,蔡承恩,1037
male,73,陳志銘,1018
male,74,陳俊豪,1011
male,75,黃柏翰,1009
male,76,陳俊佑,1006
male,77,陳志宏,1005
male,78,楊宗翰,1004
male,79,陳昱安,998
male,80,李建興,996
male,81,林明輝,994
male,82,李俊毅,989
male,83,林冠宏,985
male,84,劉冠廷,975
male,85,陳俊吉,969
male,86,陳正雄,959
male,87,陳宥任,952
male,88,林建成,951
male,89,鄭宇翔,945
male,90,王俊凱,945
male,91,劉建宏,934
male,92,吳俊毅,931
male,93,林明德,930
male,94,楊承翰,928
male,95,陳志強,920
male,96,林建志,913
male,97,黃柏翔,910
male,98,陳俊雄,909
male,99,陳文彬,908
male,100,陳柏豪,908
female,1,陳怡君,5744
female,2,林怡君,4401
female,3,陳淑芬,3747
female,4,張雅婷,3491
female,5,陳美玲,3235
female,6,陳怡如,3121
female,7,陳美惠,3103
female,8,陳淑惠,2921
female,9,林淑惠,2903
female,10,陳淑貞,2751
female,11,陳淑娟,2687
female,12,陳麗華,2632
female,13,林佳慧,2514
female,14,林淑芬,2493
female,15,陳美華,2336
female,16,陳怡靜,2278
female,17,楊雅婷,2252
female,18,陳淑華,2196
female,19,陳怡伶,2175
female,20,林麗華,2150
female,21,陳思妤,2140
female,22,張雅惠,2134
female,23,陳淑美,2107
female,24,陳韻如,2097
female,25,黃淑芬,2048
female,26,陳秀美,2047
female,27,陳怡婷,2040
female,28,陳淑玲,2006
female,29,黃鈺婷,1991
female,30,張雅雯,1988
female,31,陳麗娟,1971
female,32,林美惠,1955
female,33,林美玲,1937
female,34,林淑娟,1933
female,35,陳雅玲,1882
female,36,林秀美,1877
female,37,陳秀琴,1809
female,38,陳美玉,1807
female,39,許雅婷,1805
female,40,黃淑惠,1782
female,41,劉怡君,1763
female,42,張淑惠,1739
female,43,陳怡安,1723
female,44,陳美珠,1694
female,45,林佳蓉,1689
female,46,林淑華,1686
female,47,陳雅惠,1685
female,48,陳品妤,1683
female,49,黃馨儀,1678
female,50,陳麗珠,1675
female,51,陳秀英,1662
female,52,王怡婷,1653
female,53,陳思穎,1647
female,54,陳美雲,1643
female,55,林美華,1641
female,56,林淑貞,1630
female,57,陳宥蓁,1628
female,58,陳秀鳳,1590
female,59,張淑芬,1579
female,60,陳惠美,1578
female,61,林欣怡,1573
female,62,陳惠玲,1567
female,63,黃美玲,1556
female,64,陳麗卿,1552
female,65,李淑芬,1544
female,66,黃淑貞,1535
female,67,陳美麗,1529
female,68,陳麗美,1513
female,69,黃美惠,1505
female,70,陳雅婷,1503
female,71,李佳蓉,1499
female,72,李麗華,1486
female,73,林雅惠,1474
female,74,林秀英,1461
female,75,林欣儀,1461
female,76,鄭雅文,1459
female,77,陳慧玲,1438
female,78,黃郁婷,1424
female,79,林宜蓁,1422
female,80,陳姿穎,1418
female,81,陳秀蘭,1417
female,82,林芳如,1411
female,83,黃詩涵,1400
female,84,黃麗華,1398
female,85,黃美華,1393
female,86,陳麗如,1390
female,87,林麗娟,1388
female,88,李淑惠,1388
female,89,黃淑娟,1387
female,90,王淑芬,1378
female,91,林雅婷,1364
female,92,李怡萱,1360
female,93,張淑娟,1356
female,94,張美玲,1347
female,95,林秀玲,1344
female,96,李宜蓁,1336
female,97,陳素貞,1333
female,98,吳佩珊,1330
female,99,張淑貞,1325
female,100,陳淑珍,1325
