gender,rank,given_name,population
male,1,家豪,14038
male,2,志明,12719
male,3,建宏,12196
male,4,俊傑,12187
male,5,俊宏,11189
male,6,志豪,10676
male,7,志偉,10563
male,8,承翰,9726
male,9,冠宇,9655
male,10,志強,9101
male,11,宗翰,9021
male,12,志宏,8960
male,13,冠廷,8915
male,14,志成,8903
male,15,文雄,8678
male,16,承恩,8631
male,17,金龍,8426
male,18,文彬,8005
male,19,正雄,7971
male,20,明輝,7890
male,21,柏翰,7662
male,22,彥廷,7598
male,23,明德,7417
male,24,文龍,7273
male,25,俊賢,7236
male,26,志忠,6967
male,27,國華,6642
male,28,信宏,6610
male,29,家銘,6590
male,30,俊雄,6581
male,31,宇翔,6155
male,32,建成,6100
male,33,冠霖,5989
male,34,志銘,5840
male,35,志雄,5619
male,36,進財,5518
male,37,明哲,5479
male,38,榮華,5421
male,39,柏宇,5392
male,40,志鴻,5355
male,41,志賢,5262
male,42,俊良,5261
male,43,建華,5248
male,44,家瑋,5246
male,45,家榮,5245
male,46,文祥,5229
male,47,建志,5139
male,48,文正,5134
male,49,文忠,5126
male,50,凱翔,5098
male,51,家宏,5085
male,52,國雄,5080
male,53,明宏,5072
male,54,文賢,5062
male,55,世昌,5044
male,56,哲瑋,5032
male,57,文傑,4904
male,58,正義,4889
male,59,武雄,4847
male,60,建興,4838
male,61,志文,4805
male,62,嘉宏,4782
male,63,文章,4722
male,64,明宗,4717
male,65,宇軒,4708
male,66,進興,4696
male,67,俊豪,4673
male,68,俊廷,4649
male,69,冠宏,4634
male,70,仁傑,4610
male,71,威廷,4589
male,72,哲維,4583
male,73,宗霖,4559
male,74,文欽,4512
male,75,博文,4511
male,76,俊男,4481
male,77,宗憲,4480
male,78,子豪,4472
male,79,俊宇,4450
male,80,勝雄,4438
male,81,柏諺,4410
male,82,建良,4401
male,83,俊明,4376
male,84,俊銘,4359
male,85,世明,4353
male,86,義雄,4352
male,87,建銘,4323
male,88,永昌,4310
male,89,文華,4305
male,90,子翔,4298
male,91,柏宏,4230
male,92,政宏,4222
male,93,進發,4209
male,94,柏霖,4206
male,95,建中,4199
male,96,國榮,4192
male,97,志誠,4130
male,98,聰明,4122
male,99,俊佑,4096
male,100,志遠,4094
female,1,淑芬,31879
female,2,淑惠,30420
female,3,美玲,27487
female,4,麗華,25624
female,5,美惠,25015
female,6,淑貞,23904
female,7,雅婷,23407
female,8,秀英,23020
female,9,淑娟,22828
female,10,秀琴,22266
female,11,秀美,21426
female,12,美華,20843
female,13,怡君,20185
female,14,淑華,20178
female,15,美玉,20011
female,16,雅惠,19012
female,17,秀蘭,18207
female,18,淑美,18055
female,19,秀鳳,17808
female,20,美珠,17520
female,21,麗珠,17097
female,22,麗娟,16792
female,23,淑玲,16542
female,24,美雲,16424
female,25,雅雯,16195
female,26,雅玲,15204
female,27,美麗,14594
female,28,玉蘭,14506
female,29,月娥,13961
female,30,麗卿,13873
female,31,惠美,13859
female,32,麗美,13570
female,33,秀珠,12950
female,34,淑珍,12818
female,35,欣怡,12776
female,36,素貞,12664
female,37,秀珍,12501
female,38,素珍,12315
female,39,惠玲,12264
female,40,玉梅,12177
female,41,玉英,12175
female,42,淑慧,12106
female,43,秀玲,11853
female,44,明珠,11745
female,45,秋香,11736
female,46,秀玉,11639
female,47,麗雲,11580
female,48,秀梅,11572
female,49,麗玉,11285
female,50,寶珠,10806
female,51,怡婷,10611
female,52,麗玲,10547
female,53,宜蓁,10413
female,54,月英,10286
female,55,淑芳,10078
female,56,玉玲,10027
female,57,秀雲,10000
female,58,慧玲,9854
female,59,春美,9808
female,60,碧霞,9769
female,61,麗香,9731
female,62,美鳳,9640
female,63,美珍,9631
female,64,美英,9622
female,65,碧珠,9612
female,66,碧雲,9499
female,67,佳蓉,9489
female,68,美蘭,9315
female,69,秀娟,9245
female,70,美娟,9095
female,71,淑敏,9090
female,72,玉珍,9079
female,73,淑卿,8876
female,74,美慧,8840
female,75,靜宜,8827
female,76,素珠,8812
female,77,雅慧,8693
female,78,靜怡,8682
female,79,玉美,8646
female,80,雅萍,8559
female,81,素卿,8491
female,82,素琴,8442
female,83,秀枝,8421
female,84,金蓮,8417
female,85,秋月,8370
female,86,麗雪,8360
female,87,惠珍,8342
female,88,心怡,8312
female,89,佳玲,8307
female,90,鈺婷,8251
female,91,詩涵,8221
female,92,秀霞,8221
female,93,秀華,8142
female,94,麗琴,8104
female,95,金鳳,8050
female,96,麗珍,8041
female,97,玉鳳,8033
female,98,玉琴,8027
female,99,秀蓮,8004
female,100,素蘭,8002
