rank,surname,population
1,陳,2618994
2,林,1947520
3,黃,1402808
4,張,1239880
5,李,1199920
6,王,955035
7,吳,935684
8,劉,737607
9,蔡,684531
10,楊,617799
11,許,540929
12,鄭,440767
13,謝,412657
14,洪,352942
15,郭,350072
16,邱,343469
17,曾,338779
18,廖,315819
19,賴,310053
20,徐,294723
21,周,282185
22,葉,276376
23,蘇,265641
24,莊,222238
25,江,214168
26,呂,212835
27,何,198755
28,蕭,194001
29,羅,193869
30,高,179657
31,潘,162042
32,簡,158851
33,朱,154057
34,鍾,152552
35,游,139073
36,彭,138119
37,詹,136232
38,施,127312
39,胡,126649
40,沈,120364
41,余,118955
42,盧,111185
43,梁,107098
44,趙,103810
45,顏,103567
46,柯,102280
47,翁,93244
48,魏,89608
49,孫,83760
50,戴,82124
51,范,79190
52,方,76757
53,宋,75318
54,鄧,63544
55,杜,54163
56,侯,52912
57,傅,52562
58,曹,51403
59,薛,50246
60,阮,49289
61,丁,48495
62,卓,44936
63,馬,42710
64,温,42171
65,董,41537
66,藍,41507
67,古,41350
68,石,40943
69,紀,40747
70,唐,40579
71,蔣,40387
72,姚,39953
73,連,39773
74,歐,37838
75,馮,37810
76,程,36448
77,湯,35907
78,田,35560
79,康,35499
80,黄,34531
81,姜,34083
82,白,33142
83,汪,32452
84,尤,32036
85,鄒,31813
86,黎,29532
87,巫,29117
88,鐘,28759
89,涂,27298
90,龔,24885
91,嚴,22084
92,韓,21190
93,袁,20907
94,金,19369
95,童,19345
96,陸,17082
97,柳,16669
98,凃,16374
99,夏,16249
100,邵,15329
101,錢,14708
102,伍,14440
103,倪,14007
104,溫,13956
105,駱,12482
106,譚,12346
107,于,12079
108,甘,11786
109,熊,11590
110,任,11433
111,秦,11365
112,章,11122
113,毛,11116
114,官,11098
115,顧,11096
116,史,10864
117,萬,10786
118,俞,10661
119,粘,10027
120,雷,9983
121,饒,9657
122,張簡,9162
123,闕,8794
124,凌,8288
125,武,8164
126,孔,8043
127,尹,8036
128,崔,7997
129,辛,7922
130,歐陽,7653
131,辜,7536
132,陶,7266
133,段,7163
134,易,7156
135,龍,6965
136,韋,6798
137,池,6423
138,葛,6378
139,褚,5935
140,孟,5804
141,麥,5754
142,殷,5661
143,莫,5338
144,文,5296
145,賀,5265
146,賈,5213
147,管,5144
148,關,5038
149,包,4800
150,向,4707
151,丘,4361
152,范姜,4259
153,梅,4253
154,華,4128
155,裴,4042
156,利,3975
157,全,3712
158,樊,3561
159,房,3546
160,佘,3509
161,花,3499
162,安,3399
163,左,3333
164,魯,3288
165,塗,3219
